well_id,field_label,campaign_year,x,y,screen_elev_m,head_m,head_minus_screen,elevation_srtm_m,landcover_code,landcover_class,clay_pct,sand_pct,silt_pct,texture_class,P_year_of_survey_mm,P_cumul_1yr_mm,P_anomaly_1yr_pct,P_cumul_3yr_mm,P_anomaly_3yr_pct,P_cumul_5yr_mm,P_anomaly_5yr_pct,depth_to_water_approx_m,is_cropland,qc_flag_head_below_screen
HYN-2022-003,P84,2022,649263.838,3867775.616,404.8862826,431.2,26.313717399999973,449.0,40,Cropland,29.0,40.0,31.0,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,17.80000000000001,1,0
HYN-2022-004,P71,2022,647618.36,3867810.94,371.3590247,387.0,15.64097529999998,433.0,40,Cropland,29.7,39.4,30.9,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,46.0,1,0
HYN-2022-005,P60,2022,648365.78,3867884.23,372.8026667,400.0,27.197333300000025,450.0,50,Built-up,,,,Unknown,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,50.0,0,0
HYN-2022-006,P98,2022,649711.0035,3867988.743,409.7920873,431.5,21.70791270000001,462.0,50,Built-up,27.6,40.3,32.1,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,30.5,0,0
HYN-2022-007,P142,2022,650819.0262,3868010.572,418.7997216,411.1,-7.699721599999975,471.0,40,Cropland,28.2,37.8,34.0,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,59.89999999999998,1,1
HYN-2022-008,P89,2022,649569.3019,3868051.88,403.7578577,431.0,27.24214230000001,460.0,50,Built-up,28.4,43.3,28.3,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,29.0,0,0
HYN-2022-009,P93,2022,647445.36,3868059.45,372.0085342,380.0,7.9914658000000145,428.0,40,Cropland,29.3,40.6,30.1,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,48.0,1,0
HYN-2022-010,P59,2022,648149.09,3868101.96,372.8026667,390.0,17.197333300000025,440.0,50,Built-up,28.5,43.1,28.4,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,50.0,0,0
HYN-2022-011,P61,2022,646620.3,3868178.05,371.7551228,375.0,3.244877200000019,410.0,40,Cropland,30.3,38.7,31.0,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,35.0,1,0
HYN-2022-012,P87,2022,649020.5453,3868203.982,384.101729,409.5,25.398271000000022,432.0,50,Built-up,28.7,41.4,29.8,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,22.5,0,0
HYN-2022-013,P66,2022,648179.73,3868215.55,365.9594676,390.0,24.040532400000014,435.0,30,Grassland,28.5,43.1,28.4,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,45.0,0,0
HYN-2022-014,P65,2022,648153.89,3868243.79,366.2948714,380.0,13.705128600000023,433.0,40,Cropland,28.5,43.1,28.4,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,53.0,1,0
HYN-2022-015,P129,2022,650321.7207,3868247.151,401.7388133,426.7,24.961186699999985,440.0,40,Cropland,28.8,41.3,30.0,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,13.300000000000011,1,0
HYN-2022-016,P140,2022,650967.5764,3868289.644,402.5378268,395.3,-7.2378267999999935,452.0,30,Grassland,29.1,41.2,29.8,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,56.69999999999999,0,1
