Layer 2
X	Y	Z	Top	Bot	Thick.	
650408.594	3877067.13	235.640007	260.140015	211.139999	49.0000153	
650712.625	3877067.13	237.079994	263.079987	211.080002	51.9999847	
651016.656	3877067.13	240.309998	266.309998	214.309998	52	
651320.719	3877067.13	240.839996	265.839996	215.839996	50	
651624.75	3877067.13	205.860001	230.860001	180.860001	50	
651928.875	3877067.13	192.460007	217.460007	167.460007	50	
646152.031	3876688.5	241.600006	266.600006	216.600006	50	
646456.063	3876688.5	247.589996	272.589996	222.589996	50	
646760.094	3876688.5	255.450005	280.450012	230.449997	50.0000153	
647064.156	3876688.5	260.489998	285.48999	235.490005	49.9999847	
647368.188	3876688.5	270.779999	295.779999	245.779999	50	
647672.219	3876688.5	269.489998	294.48999	244.490005	49.9999847	
647976.25	3876688.5	264.100006	289.100006	239.100006	50	
648280.281	3876688.5	263.609993	288.609985	238.610001	49.9999847	
648584.344	3876688.5	259.309998	284.309998	234.309998	50	
648888.375	3876688.5	259.390007	284.390015	234.389999	50.0000153	
649192.406	3876688.5	261.890007	286.890015	236.889999	50.0000153	
649496.469	3876688.5	253.690002	278.690002	228.690002	50	
649800.5	3876688.5	243.589996	266.089996	221.089996	45	
650104.531	3876688.5	239.890007	264.390015	215.389999	49.0000153	
650408.594	3876688.5	237.420006	262.420013	212.419998	50.0000153	
650712.625	3876688.5	238.549995	264.549988	212.550003	51.9999847	
651016.656	3876688.5	242.970001	269.470001	216.470001	53	
651320.719	3876688.5	239.760002	264.76001	214.759995	50.0000153	
651624.75	3876688.5	215.990005	240.990005	190.990005	50	
651928.875	3876688.5	201.529999	226.529999	176.529999	50	
646152.031	3876310	234.839996	259.839996	209.839996	50	
646456.063	3876310	243.880005	268.880005	218.880005	50	
646760.094	3876310	248.290001	273.290009	223.289993	50.0000153	
647064.156	3876310	253	278	228	50	
647368.188	3876310	255.839996	280.839996	230.839996	50	
647672.219	3876310	256.929993	281.929993	231.929993	50	
647976.25	3876310	259.200005	284.200012	234.199997	50.0000153	
648280.281	3876310	262.920006	287.920013	237.919998	50.0000153	
648584.344	3876310	261.399994	286.399994	236.399994	50	
648888.375	3876310	258.640007	276.140015	241.139999	35.0000153	
649192.406	3876310	257.859993	275.859985	239.860001	35.9999847	
649496.469	3876310	252.420006	273.920013	230.919998	43.0000153	
649800.5	3876310	246.609993	270.109985	223.110001	46.9999847	
650104.531	3876310	243.239998	269.23999	217.240005	51.9999847	
650408.594	3876310	241.739998	269.23999	214.240005	54.9999847	
650712.625	3876310	242.570007	270.570007	214.570007	56	
651016.656	3876310	246.010002	273.01001	219.009995	54.0000153	
651320.719	3876310	252.589996	277.589996	227.589996	50	
651624.75	3876310	223.580002	248.580002	198.580002	50	
651928.875	3876310	201.520004	226.520004	176.520004	50	
646152.031	3875931.5	239.720001	264.720001	214.720001	50	
646456.063	3875931.5	242.549995	267.549988	217.550003	49.9999847	
646760.094	3875931.5	244.019997	269.019989	219.020004	49.9999847	
647064.156	3875931.5	244.25	269.25	219.25	50	
647368.188	3875931.5	248.670006	273.670013	223.669998	50.0000153	
647672.219	3875931.5	253.359993	278.359985	228.360001	49.9999847	
647976.25	3875931.5	260.459999	285.459991	235.460007	49.9999847	
648280.281	3875931.5	264.279999	289.279999	239.279999	50	
648584.344	3875931.5	265.630005	290.630005	240.630005	50	
648888.375	3875931.5	263.980003	283.480011	244.479996	39.0000153	
649192.406	3875931.5	261.940002	281.940002	241.940002	40	
649496.469	3875931.5	255.660004	278.160004	233.160004	45	
649800.5	3875931.5	249.450005	273.450012	225.449997	48.0000153	
650104.531	3875931.5	246.690002	273.690002	219.690002	54	
650408.594	3875931.5	245.339996	273.839996	216.839996	57	
650712.625	3875931.5	245.899994	274.399994	217.399994	57	
651016.656	3875931.5	249.700005	277.200012	222.199997	55.0000153	
651320.719	3875931.5	240.540001	265.540009	215.539993	50.0000153	
651624.75	3875931.5	220.320007	245.320007	195.320007	50	
651928.875	3875931.5	238.149994	263.149994	213.149994	50	
646152.031	3875553	243.130005	268.130005	218.130005	50	
646456.063	3875553	243.519997	268.519989	218.520004	49.9999847	
646760.094	3875553	250.019997	275.019989	225.020004	49.9999847	
647064.156	3875553	250.489998	275.48999	225.490005	49.9999847	
647368.188	3875553	252.390007	277.390015	227.389999	50.0000153	
647672.219	3875553	258.640007	283.640015	233.639999	50.0000153	
647976.25	3875553	264.049995	289.049988	239.050003	49.9999847	
648280.281	3875553	268.670006	293.670013	243.669998	50.0000153	
648584.344	3875553	267.109993	290.019989	244.199997	45.8199921	
