well_id,x,y,lon,lat,elevation_srtm_m,landcover_code,landcover_class
HYN-2022-031,646870.0964,3868821.899,-1.3915198668336124,34.95128419136563,400.0,40,Cropland
HYN-2022-032,649123.7435,3868957.416,-1.3668231532157111,34.952176422513865,433.0,50,Built-up
HYN-2022-033,651197.1823,3868959.681,-1.3441231664655158,34.95188943521952,428.0,40,Cropland
HYN-2022-034,650808.0414,3869068.619,-1.3483636735747955,34.95292939201215,427.0,40,Cropland
HYN-2022-035,650798.031,3869231.766,-1.348443761528,34.95440144933806,419.0,40,Cropland
HYN-2022-036,650722.5417,3869510.239,-1.3492198830819175,34.95692277398065,405.0,40,Cropland
HYN-2022-037,649084.8239,3869639.306,-1.3671273133834563,34.95832859650762,391.0,40,Cropland
HYN-2022-038,650979.3432,3869664.27,-1.346380423033189,34.95827291434996,407.0,10,Tree cover
HYN-2022-039,650801.4297,3869682.361,-1.3483250506505469,34.95846249338649,402.0,40,Cropland
HYN-2022-040,650489.7559,3869731.669,-1.3517285478032597,34.95895331226085,414.0,40,Cropland
HYN-2022-041,649084.5138,3869786.606,-1.3671043654911463,34.959656379291324,389.0,40,Cropland
HYN-2022-042,649010.9102,3869975.441,-1.3678764849411997,34.96136934059745,382.0,40,Cropland
HYN-2022-043,650461.6666,3870041.183,-1.3519802206931646,34.96174737127928,400.0,40,Cropland
HYN-2022-044,650405.3052,3870057.75,-1.3525943359987544,34.9619050764528,399.0,40,Cropland
HYN-2022-045,647207.4442,3870087.445,-1.387603166186114,34.962642754310146,373.0,40,Cropland
HYN-2022-046,647480.8072,3870108.548,-1.3846062798347054,34.96279319078476,375.0,40,Cropland
HYN-2022-047,648150.2804,3870486.352,-1.3772088180408522,34.96610092195001,370.0,20,Shrubland
HYN-2022-048,650063.4864,3870506.229,-1.3562561933634574,34.96599828539433,375.0,10,Tree cover
HYN-2022-049,650403.811,3870626.909,-1.352507979786145,34.96703555869433,381.0,10,Tree cover
HYN-2022-050,650404.2562,3870630.609,-1.3525024371202856,34.96706884342782,381.0,10,Tree cover
HYN-2022-051,648365.1666,3870644.509,-1.3748277034978764,34.96749505452942,369.0,40,Cropland
HYN-2022-052,647960.3037,3870716.307,-1.3792481915873391,34.9682014921679,366.0,10,Tree cover
HYN-2022-053,650881.2748,3870725.085,-1.347262092465284,34.96784943620147,372.0,40,Cropland
HYN-2022-054,648300.3273,3870930.755,-1.3754867435558635,34.97008473525855,359.0,40,Cropland
HYN-2022-055,650402.1862,3871018.247,-1.3524551317580213,34.97056322265786,361.0,40,Cropland
HYN-2022-056,650164.0536,3871128.66,-1.355042842427419,34.97159381671528,364.0,40,Cropland
HYN-2022-057,649318.7256,3871235.099,-1.364280466663089,34.97267830379077,358.0,40,Cropland
HYN-2022-058,648988.7671,3871605.854,-1.3678273970445765,34.97606884720425,355.0,10,Tree cover
HYN-2022-059,648537.4272,3871682.962,-1.3727563034869157,34.976830236716395,348.0,40,Cropland
HYN-2022-060,648747.2014,3872129.493,-1.3703792741613998,34.98082437006757,343.0,40,Cropland
HYN-2022-061,648538.4319,3872260.794,-1.3726422362080786,34.982038565438565,342.0,30,Grassland
HYN-2022-062,648774.615,3872584.119,-1.369997816823253,34.9849182505803,335.0,40,Cropland
HYN-2022-063,647644.697,3872954.394,-1.3823073396927446,34.988421401499686,335.0,50,Built-up
HYN-2022-064,649961.7203,3873782.381,-1.356780512482513,34.99554378787458,316.0,40,Cropland
HYN-2022-065,650020.8067,3873839.517,-1.3561230033519693,34.99605003186556,314.0,10,Tree cover
HYN-2022-066,649080.2966,3873908.714,-1.3664126643434278,34.99681285593696,318.0,10,Tree cover
HYN-2022-067,649377.5761,3873932.588,-1.3631520377182513,34.996984177165885,317.0,40,Cropland
HYN-2022-068,649436.0259,3874025.763,-1.362495055080248,34.9978153970096,316.0,40,Cropland
HYN-2022-069,650287.3806,3874464.602,-1.3530901346442,35.00164478091228,306.0,40,Cropland
HYN-2022-070,648889.2135,3874484.718,-1.3684026717760773,35.00203298115511,315.0,10,Tree cover
HYN-2022-071,649138.7989,3874488.46,-1.3656679151527826,35.00202992220836,313.0,40,Cropland
HYN-2022-072,649920.8467,3874513.869,-1.3570964140849584,35.0021432807191,308.0,10,Tree cover
HYN-2022-073,649513.9334,3874523.914,-1.361552135828776,35.00229408538474,311.0,30,Grassland
HYN-2022-074,649934.9855,3874545.857,-1.3569357653680691,35.002429514757935,305.0,40,Cropland
HYN-2022-075,649202.841,3874618.653,-1.3649430135828515,35.00319400041654,311.0,40,Cropland
HYN-2022-076,649070.9548,3874662.133,-1.3663799899132358,35.003605375387174,311.0,40,Cropland
HYN-2022-077,649710.677,3874668.538,-1.359370876876724,35.00356857068908,309.0,40,Cropland
HYN-2022-078,649360.0114,3874695.916,-1.3632073933430011,35.00386722028243,308.0,40,Cropland
HYN-2022-079,650107.7485,3874698.7,-1.3550156507982247,35.00378155976301,306.0,40,Cropland
HYN-2022-080,649633.0457,3874723.768,-1.3602113672202403,35.0040778929805,308.0,40,Cropland
HYN-2022-081,649794.4906,3874789.896,-1.3584308709504511,35.00465004226471,306.0,30,Grassland
HYN-2022-082,649158.8378,3874900.136,-1.3653745752028794,35.00573771259135,308.0,10,Tree cover
HYN-2022-083,649372.9632,3874950.382,-1.363019809691713,35.00615899769418,309.0,30,Grassland
HYN-2022-084,649361.7475,3874985.828,-1.3631363123854523,35.00648015612149,310.0,10,Tree cover
