Layer 2
X	Y	Z	Ss	Sy	PorEff.	PorTot.	
649192.406	3876688.5	261.890007	0.3	0.3	0.34	0.38	
649496.469	3876688.5	253.690002	0.3	0.3	0.34	0.38	
649800.5	3876688.5	243.589996	0.3	0.3	0.34	0.38	
650104.531	3876688.5	239.890007	0.3	0.3	0.34	0.38	
650408.594	3876688.5	237.420006	0.3	0.3	0.34	0.38	
650712.625	3876688.5	238.549995	0.3	0.3	0.34	0.38	
651016.656	3876688.5	242.970001	0.3	0.3	0.34	0.38	
651320.719	3876688.5	239.760002	0.3	0.3	0.34	0.38	
651624.75	3876688.5	215.990005	0.3	0.3	0.34	0.38	
651928.875	3876688.5	201.529999	0.299594123	0.299594123	0.339350152	0.379807126	
646152.031	3876310	234.839996	0.299962263	0.299962263	0.339939132	0.379985525	
646456.063	3876310	243.880005	0.3	0.3	0.34	0.38	
646760.094	3876310	248.290001	0.3	0.3	0.34	0.38	
647064.156	3876310	253	0.3	0.3	0.34	0.38	
647368.188	3876310	255.839996	0.3	0.3	0.34	0.38	
647672.219	3876310	256.929993	0.3	0.3	0.34	0.38	
647976.25	3876310	259.200005	0.3	0.3	0.34	0.38	
648280.281	3876310	262.920006	0.3	0.3	0.34	0.38	
648584.344	3876310	261.399994	0.2996428	0.2996428	0.33942462	0.37988098	
648888.375	3876310	258.640007	0.29757503	0.29757503	0.336093211	0.379191677	
649192.406	3876310	257.859993	0.299422864	0.299422864	0.339070138	0.379807662	
649496.469	3876310	252.420006	0.297141044	0.297141044	0.335393945	0.379046978	
649800.5	3876310	246.609993	0.297054748	0.297054748	0.335254805	0.379018263	
650104.531	3876310	243.239998	0.297327559	0.297327559	0.335694319	0.379109191	
650408.594	3876310	241.739998	0.299814798	0.299814798	0.339701642	0.379938293	
650712.625	3876310	242.570007	0.3	0.3	0.34	0.38	
651016.656	3876310	246.010002	0.3	0.3	0.34	0.38	
651320.719	3876310	252.589996	0.3	0.3	0.34	0.38	
651624.75	3876310	223.580002	0.3	0.3	0.34	0.38	
651928.875	3876310	201.520004	0.299597944	0.299597944	0.339355884	0.379809037	
646152.031	3875931.5	239.720001	0.2999527	0.2999527	0.339924475	0.379982013	
646456.063	3875931.5	242.549995	0.3	0.3	0.34	0.38	
646760.094	3875931.5	244.019997	0.3	0.3	0.34	0.38	
647064.156	3875931.5	244.25	0.3	0.3	0.34	0.38	
647368.188	3875931.5	248.670006	0.3	0.3	0.34	0.38	
647672.219	3875931.5	253.359993	0.3	0.3	0.34	0.38	
647976.25	3875931.5	260.459999	0.3	0.3	0.34	0.38	
648280.281	3875931.5	264.279999	0.299982327	0.299982327	0.339971451	0.379994109	
648584.344	3875931.5	265.630005	0.29037869	0.29037869	0.324499543	0.376793172	
648888.375	3875931.5	263.980003	0.235949829	0.235949829	0.236808443	0.358643819	
649192.406	3875931.5	261.940002	0.284796532	0.284796532	0.315505374	0.374932247	
649496.469	3875931.5	255.660004	0.225554493	0.225554493	0.220060163	0.355184789	
649800.5	3875931.5	249.450005	0.223852288	0.223852288	0.217317344	0.354617563	
650104.531	3875931.5	246.690002	0.230742808	0.230742808	0.228418805	0.356914159	
650408.594	3875931.5	245.339996	0.29523758	0.29523758	0.332327281	0.378412685	
650712.625	3875931.5	245.899994	0.3	0.3	0.34	0.38	
651016.656	3875931.5	249.700005	0.3	0.3	0.34	0.38	
651320.719	3875931.5	240.540001	0.3	0.3	0.34	0.38	
651624.75	3875931.5	220.320007	0.3	0.3	0.34	0.38	
651928.875	3875931.5	238.149994	0.299601453	0.299601453	0.339361616	0.379810635	
