Layer 2
X	Y	Z	Kx	Ky	Kz	
648280.281	3880095.5	202.910004	1E-11	1E-11	1E-11	
648584.344	3880095.5	204.110001	1E-11	1E-11	1E-11	
648888.375	3880095.5	206.139999	1E-11	1E-11	1E-11	
649192.406	3880095.5	207.860001	1E-11	1E-11	1E-11	
649496.469	3880095.5	210.059998	1E-11	1E-11	1E-11	
649800.5	3880095.5	205.360001	1E-11	1E-11	1E-11	
650104.531	3880095.5	171.979996	1E-11	1E-11	1E-11	
650408.594	3880095.5	156.389999	1E-11	1E-11	1E-11	
650712.625	3880095.5	149.809998	1E-11	1E-11	1E-11	
651016.656	3880095.5	151.210003	1E-11	1E-11	1E-11	
651320.719	3880095.5	144.869999	1E-11	1E-11	1E-11	
651624.75	3880095.5	114.040997	1E-11	1E-11	1E-11	
651928.875	3880095.5	42.0530005	1E-11	1E-11	1E-11	
646152.031	3879717	218.960007	1E-11	1E-11	1E-11	
646456.063	3879717	242.059998	1E-11	1E-11	1E-11	
646760.094	3879717	242.950005	1E-11	1E-11	1E-11	
647064.156	3879717	230.809998	1E-11	1E-11	1E-11	
647368.188	3879717	229.970001	1E-11	1E-11	1E-11	
647672.219	3879717	225.639999	1E-11	1E-11	1E-11	
647976.25	3879717	222.75	1E-11	1E-11	1E-11	
648280.281	3879717	221.130005	1E-11	1E-11	1E-11	
648584.344	3879717	210.880005	1E-11	1E-11	1E-11	
648888.375	3879717	211.119995	1E-11	1E-11	1E-11	
649192.406	3879717	212.880005	1E-11	1E-11	1E-11	
649496.469	3879717	214.139999	1E-11	1E-11	1E-11	
649800.5	3879717	214.289993	1E-11	1E-11	1E-11	
650104.531	3879717	213.149994	1E-11	1E-11	1E-11	
650408.594	3879717	203.279999	1E-11	1E-11	1E-11	
650712.625	3879717	165.740005	1E-11	1E-11	1E-11	
651016.656	3879717	151.320004	1E-11	1E-11	1E-11	
651320.719	3879717	150.460003	1E-11	1E-11	1E-11	
651624.75	3879717	145.580002	1E-11	1E-11	1E-11	
651928.875	3879717	73.1529999	1E-11	1E-11	1E-11	
646152.031	3879338.5	226.710007	1E-11	1E-11	1E-11	
646456.063	3879338.5	264.049995	1E-11	1E-11	1E-11	
646760.094	3879338.5	255.779999	1E-11	1E-11	1E-11	
647064.156	3879338.5	248.739998	1E-11	1E-11	1E-11	
647368.188	3879338.5	242.829994	1E-11	1E-11	1E-11	
647672.219	3879338.5	238.089996	1E-11	1E-11	1E-11	
647976.25	3879338.5	234.339996	1E-11	1E-11	1E-11	
648280.281	3879338.5	231.510002	1E-11	1E-11	1E-11	
648584.344	3879338.5	229.389999	1E-11	1E-11	1E-11	
648888.375	3879338.5	227.759995	1E-11	1E-11	1E-11	
649192.406	3879338.5	218.059998	1E-11	1E-11	1E-11	
649496.469	3879338.5	217.850006	1E-11	1E-11	1E-11	
649800.5	3879338.5	218.350006	1E-11	1E-11	1E-11	
650104.531	3879338.5	218.440002	1E-11	1E-11	1E-11	
650408.594	3879338.5	217.589996	1E-11	1E-11	1E-11	
650712.625	3879338.5	209.700005	1E-11	1E-11	1E-11	
651016.656	3879338.5	166.660004	1E-11	1E-11	1E-11	
651320.719	3879338.5	160.509995	1E-11	1E-11	1E-11	
651624.75	3879338.5	172.779999	1E-11	1E-11	1E-11	
651928.875	3879338.5	101.581501	1E-11	1E-11	1E-11	
646152.031	3878959.88	234.769997	1E-11	1E-11	1E-11	
646456.063	3878959.88	271.720001	1E-11	1E-11	1E-11	
646760.094	3878959.88	265.790001	1E-11	1E-11	1E-11	
647064.156	3878959.88	260.239998	1E-11	1E-11	1E-11	
647368.188	3878959.88	255.079994	1E-11	1E-11	1E-11	
647672.219	3878959.88	250.359993	1E-11	1E-11	1E-11	
647976.25	3878959.88	246.070007	1E-11	1E-11	1E-11	
648280.281	3878959.88	242.239998	1E-11	1E-11	1E-11	
648584.344	3878959.88	238.839996	1E-11	1E-11	1E-11	
648888.375	3878959.88	234.350006	1E-11	1E-11	1E-11	
649192.406	3878959.88	230.369995	1E-11	1E-11	1E-11	
649496.469	3878959.88	222.75	1E-11	1E-11	1E-11	
649800.5	3878959.88	221.089996	1E-11	1E-11	1E-11	
650104.531	3878959.88	220.850006	1E-11	1E-11	1E-11	
650408.594	3878959.88	220.570007	1E-11	1E-11	1E-11	
650712.625	3878959.88	220.960007	1E-11	1E-11	1E-11	
651016.656	3878959.88	194.25	1E-11	1E-11	1E-11	
651320.719	3878959.88	163.25	1E-11	1E-11	1E-11	
651624.75	3878959.88	190.490005	1E-11	1E-11	1E-11	
651928.875	3878959.88	127.589996	1E-11	1E-11	1E-11	
646152.031	3878581.25	243.160004	1E-11	1E-11	1E-11	
646456.063	3878581.25	270.410004	1E-11	1E-11	1E-11	
646760.094	3878581.25	272.440002	1E-11	1E-11	1E-11	
647064.156	3878581.25	270.070007	1E-11	1E-11	1E-11	
647368.188	3878581.25	264.709999	1E-11	1E-11	1E-11	
647672.219	3878581.25	256.320007	1E-11	1E-11	1E-11	
647976.25	3878581.25	251.980003	1E-11	1E-11	1E-11	
648280.281	3878581.25	244.209999	1E-11	1E-11	1E-11	
648584.344	3878581.25	238.279999	1E-11	1E-11	1E-11	
648888.375	3878581.25	236.410004	1E-11	1E-11	1E-11	
649192.406	3878581.25	236.970001	1E-11	1E-11	1E-11	
649496.469	3878581.25	236.029999	1E-11	1E-11	1E-11	
649800.5	3878581.25	226.720001	1E-11	1E-11	1E-11	
650104.531	3878581.25	225.270004	1E-11	1E-11	1E-11	
650408.594	3878581.25	224.100006	1E-11	1E-11	1E-11	
