Layer 1
X	Y	Z	Head	
650408.594	3878581.25	253.865005	253.412048	
650712.625	3878581.25	255.720001	252.007996	
651016.656	3878581.25	249.284996	1.00000002E30	
651320.719	3878581.25	196.949997	1.00000002E30	
651624.75	3878581.25	194.479996	1.00000002E30	
651928.875	3878581.25	189.404999	1.00000002E30	
646152.031	3878202.75	282.544998	1.00000002E30	
646456.063	3878202.75	286.950012	1.00000002E30	
646760.094	3878202.75	290.609985	1.00000002E30	
647064.156	3878202.75	287.100006	1.00000002E30	
647368.188	3878202.75	290.609985	1.00000002E30	
647672.219	3878202.75	283.190002	1.00000002E30	
647976.25	3878202.75	272.399994	1.00000002E30	
648280.281	3878202.75	269.059998	1.00000002E30	
648584.344	3878202.75	272.980011	1.00000002E30	
648888.375	3878202.75	270.26001	1.00000002E30	
649192.406	3878202.75	270.730011	1.00000002E30	
649496.469	3878202.75	268.12999	1.00000002E30	
649800.5	3878202.75	258.264999	251.016006	
650104.531	3878202.75	257.019997	255.646881	
650408.594	3878202.75	258.239998	256.68222	
650712.625	3878202.75	261.290009	254.014008	
651016.656	3878202.75	238.169998	1.00000002E30	
651320.719	3878202.75	205.179993	1.00000002E30	
651624.75	3878202.75	189.009995	1.00000002E30	
651928.875	3878202.75	195.899994	1.00000002E30	
646152.031	3877824.25	276.410004	1.00000002E30	
646456.063	3877824.25	277.170013	1.00000002E30	
646760.094	3877824.25	281.25	1.00000002E30	
647064.156	3877824.25	286.98999	1.00000002E30	
647368.188	3877824.25	288.940002	1.00000002E30	
647672.219	3877824.25	282.049988	1.00000002E30	
647976.25	3877824.25	280	1.00000002E30	
648280.281	3877824.25	277.410004	1.00000002E30	
648584.344	3877824.25	275.480011	1.00000002E30	
648888.375	3877824.25	274.730011	1.00000002E30	
649192.406	3877824.25	272.410004	1.00000002E30	
649496.469	3877824.25	270.019989	1.00000002E30	
649800.5	3877824.25	262.284996	256.010986	
650104.531	3877824.25	261.439995	259.963562	
650408.594	3877824.25	262.215004	260.620361	
650712.625	3877824.25	262.445007	257.015991	
651016.656	3877824.25	250.449997	1.00000002E30	
651320.719	3877824.25	227.779999	1.00000002E30	
651624.75	3877824.25	198.990005	1.00000002E30	
651928.875	3877824.25	196.610001	1.00000002E30	
646152.031	3877445.75	271.399994	1.00000002E30	
646456.063	3877445.75	275.820007	1.00000002E30	
646760.094	3877445.75	286.149994	1.00000002E30	
647064.156	3877445.75	291.950012	1.00000002E30	
647368.188	3877445.75	293.350006	1.00000002E30	
647672.219	3877445.75	290.790009	1.00000002E30	
647976.25	3877445.75	288.420013	1.00000002E30	
648280.281	3877445.75	285.019989	1.00000002E30	
648584.344	3877445.75	281.160004	1.00000002E30	
648888.375	3877445.75	275.920013	1.00000002E30	
649192.406	3877445.75	274.320007	1.00000002E30	
649496.469	3877445.75	275.059998	1.00000002E30	
649800.5	3877445.75	266.565002	260.007996	
650104.531	3877445.75	265.415009	264.697327	
650408.594	3877445.75	265.860001	265.024261	
650712.625	3877445.75	265.709991	262.014008	
651016.656	3877445.75	269.48999	264.010986	
651320.719	3877445.75	238.039993	1.00000002E30	
651624.75	3877445.75	207.729996	1.00000002E30	
651928.875	3877445.75	200.570007	1.00000002E30	
646152.031	3877067.13	270.390015	1.00000002E30	
646456.063	3877067.13	277.519989	1.00000002E30	
646760.094	3877067.13	284.950012	1.00000002E30	
647064.156	3877067.13	292.059998	1.00000002E30	
647368.188	3877067.13	297.369995	1.00000002E30	
647672.219	3877067.13	296.899994	1.00000002E30	
647976.25	3877067.13	293.660004	1.00000002E30	
648280.281	3877067.13	288.459991	1.00000002E30	
648584.344	3877067.13	285.320007	1.00000002E30	
648888.375	3877067.13	279.970001	1.00000002E30	
649192.406	3877067.13	279.600006	1.00000002E30	
649496.469	3877067.13	280.395004	1.00000002E30	
649800.5	3877067.13	268.849991	263.010986	
650104.531	3877067.13	266.884995	269.767303	
650408.594	3877067.13	267.720001	269.837372	
